Id,Predicted price,Actual price
1476,1906087.99,1850000.0
1477,2323088.41,2250000.0
1478,1548449.28,1545000.0
1479,2124970.44,2085000.0
1480,1243513.11,1300000.0
1481,1884635.45,1950000.0
1482,1667386.41,1650000.0
1483,1453771.47,1395000.0
1484,1034256.1,1070000.0
1485,1268832.33,1300000.0
1486,2210195.78,2250000.0
1487,1374085.55,1320000.0
1488,4151265.62,4225000.0
1489,1616585.61,1650000.0
1490,1157675.74,1200000.0
1491,3085373.88,2995000.0
1492,1738905.91,1725000.0
1493,1254550.1,1380000.0
1494,1737564.33,1725000.0
1495,1875303.75,1895000.0
1496,2603896.38,2640000.0
1497,1110422.37,1050000.0
1498,1157000.9,1110000.0
1499,1627741.46,1650000.0
1500,1301761.98,1300000.0
1501,2427656.89,2395000.0
1502,2644091.13,2795000.0
1503,987977.39,845000.0
1504,890211.64,840000.0
1505,1061153.53,1085000.0
1506,3680433.99,3850000.0
1507,2736489.3,2730000.0
1508,1789975.17,1740000.0
1509,3252701.76,3400000.0
1510,2907038.93,2795000.0
1511,2554751.87,2595000.0
1512,1878237.01,1935000.0
1513,5008823.39,4800000.0
1514,1097907.78,1123000.0
1515,2259381.29,2395000.0
1516,2330204.01,2320000.0
1517,2050667.29,2230000.0
1518,3589979.41,3775000.0
1519,1438356.16,1450000.0
1520,1441451.67,1495000.0
1521,3262652.87,3125000.0
1522,992164.19,1020000.0
1523,4070735.93,4019999.9999999995
1524,2434225.32,2550000.0
1525,1436767.34,1450000.0
1526,936368.23,975000.0
1527,1264470.34,1175000.0
1528,2844084.26,3100000.0
1529,4715941.43,4600000.0
1530,1667690.75,1600000.0
1531,1594308.61,1710000.0
1532,1027030.35,1095000.0
1533,2347396.85,2280000.0
1534,1144404.17,1095000.0
1535,1044037.1,1095000.0
1536,1735359.43,1795000.0
1537,3417083.02,3350000.0
1538,919724.64,895000.0
1539,1908121.11,1850000.0
1540,2032252.07,1955000.0
1541,1807319.4,1950000.0
1542,2347385.17,2485000.0
1543,1777943.97,1750000.0
1544,2479551.32,2495000.0
1545,1705129.27,1750000.0
1546,1032920.36,1125000.0
1547,2046972.99,2049999.9999999998
1548,2627598.76,2715000.0
1549,1819558.38,1850000.0
1550,2512592.79,2510000.0
1551,1939777.97,1910000.0
1552,3641931.06,3795000.0
1553,1273651.72,1275000.0
1554,2317894.7,2390000.0
1555,2577450.04,2750000.0
1556,1143514.51,1200000.0
1557,4406862.74,4550000.0
1558,1915615.32,1950000.0
1559,1640562.89,1690000.0
1560,2397849.08,2475000.0
1561,2032277.82,2001000.0
1562,2681098.7,2690000.0
1563,1604540.82,1710000.0
1564,2928508.76,2995000.0
1565,3279955.39,3400000.0
1566,2376501.8,2325000.0
1567,2744426.01,2775000.0
1568,1525184.63,1525000.0
1569,933847.67,820000.0
1570,1078363.06,940000.0
1571,1836147.79,1900000.0
1572,1053819.3,1099000.0
1573,1525446.53,1400000.0
1574,2186010.6,2100000.0
1575,1067348.72,1030000.0
1576,2745420.22,2875000.0
1577,689964.41,635000.0
1578,2194466.83,2185000.0
1579,1593132.97,1565000.0
1580,2254635.81,2300000.0
1581,1240264.42,1245000.0
1582,2055095.2,2025000.0
1583,1347069.03,1360000.0
1584,4209758.76,4300000.0
1585,1387815.71,1420000.0
1586,3287607.43,3160000.0
1587,1092634.56,1200000.0
1588,2601800.92,2575000.0
1589,1603764.06,1605000.0
1590,2405800.58,2450000.0
1591,2564348.46,2600000.0
1592,1331544.76,1350000.0
1593,1392313.36,1460000.0
1594,2440360.31,2450000.0
1595,648507.36,695000.0
1596,2418861.15,3300000.0
1597,1236411.69,1205000.0
1598,1416324.97,1420000.0
1599,2011946.44,2110000.0
1600,1381436.82,1325000.0
1601,2764969.35,2850000.0
1602,3279955.39,3400000.0
1603,1598562.24,1650000.0
1604,3525905.13,3550000.0
1605,5595537.19,5750000.0
1606,2246404.65,2195000.0
1607,933673.68,1020000.0
1608,871215.7,870000.0
1609,3278615.47,3200000.0
1610,4480207.92,4495000.0
1611,4709843.64,4350000.0
1612,4224523.07,4200000.0
1613,1494922.52,1460000.0
1614,1235400.8,1225000.0
1615,5374624.25,5600000.0
1616,1431974.53,1440000.0
1617,2443709.14,2420000.0
1618,1757111.55,1845000.0
1619,1356888.06,1400000.0
1620,3525035.38,3600000.0
1621,1693703.06,1780000.0
1622,3156782.39,3100000.0
1623,1362363.93,1500000.0
1624,3331263.07,3250000.0
1625,2641721.01,2650000.0
1626,1794384.0,1750000.0
1627,1907594.92,1950000.0
1628,1281378.51,1295000.0
1629,1568504.21,1560000.0
1630,2626987.22,2650000.0
1631,1392590.17,1400000.0
1632,2161138.06,2200000.0
1633,1379009.25,1350000.0
1634,2724021.43,2795000.0
1635,2089516.88,2049999.9999999998
1636,1508064.03,1515000.0
1637,2050146.58,2015000.0000000002
1638,1481057.05,1395000.0
1639,2875730.28,2895000.0
1640,919370.95,950000.0
1641,1975435.38,2020000.0
1642,1184377.67,1190000.0
1643,2361370.56,2300000.0
1644,8917031.29,8900000.0
1645,1483361.72,1550000.0
1646,1693203.21,1700000.0
1647,4104680.06,4099999.9999999995
1648,4132447.72,4295000.0
1649,1656994.58,1660000.0
1650,2577452.66,2450000.0
1651,825780.75,750000.0
1652,2234830.38,2195000.0
1653,3315464.74,3300000.0
1654,2502219.68,2475000.0
1655,2649452.45,2650000.0
1656,929948.15,950000.0
1657,3698674.68,3700000.0
1658,1726814.51,1705250.0
1659,1691586.97,1600000.0
1660,1058180.21,1200000.0
1661,2204669.48,2150000.0
1662,1174235.94,1100000.0
1663,5698959.35,5500000.0
1664,1055556.89,1100000.0
1665,1637224.56,1500000.0
1666,3827418.8,4099999.9999999995
1667,5321310.52,5405000.0
1668,2521838.9,2475000.0
1669,1191283.82,1280000.0
1670,2803825.86,2750000.0
1671,1788555.98,1775000.0
1672,1668458.46,1600000.0
1673,1392982.6,1370000.0
1674,2343336.82,2250000.0
1675,2724021.43,2685000.0
1676,3083197.59,3200000.0
1677,1771887.42,1750000.0
1678,2271895.89,2140000.0
1679,1535665.99,1605000.0
1680,1978960.04,1850000.0
1681,4655319.69,4125000.0
1682,1470732.93,1500000.0
1683,1347718.36,1275000.0
1684,2213078.02,2395000.0
1685,2126794.82,2110000.0
1686,2357095.0,2400000.0
1687,3266520.02,3350000.0
1688,1961454.39,1860000.0
1689,2726880.07,2900000.0
1690,2385098.46,2280000.0
1691,1424023.51,1480000.0
1692,3371752.26,3320000.0
1693,1055695.65,1100000.0
1694,1199808.48,1210000.0
1695,2993019.1,2845000.0
1696,1057913.9,900000.0
1697,2481428.86,2460000.0
1698,2512393.95,2700000.0
1699,772341.55,750000.0
1700,986146.69,995000.0
1701,2676916.36,2650000.0
1702,1313368.44,1325000.0
1703,1489633.8,1450000.0
1704,1572979.69,1595000.0
1705,1472042.44,1395000.0
1706,2549588.68,2620000.0
1707,1608419.78,1600000.0
1708,5856972.69,5800000.0
1709,3574126.96,3650000.0
1710,1972638.49,2000000.0
1711,1205653.91,1160000.0
1712,2198645.11,2200000.0
1713,933847.67,820000.0
1714,1329828.98,1380000.0
1715,1388747.57,1350000.0
1716,880632.7,870000.0
1717,1891272.07,1900000.0
1718,1384980.08,1400000.0
1719,2797721.86,2925000.0
1720,5011168.0,4795000.0
1721,1514794.35,1500000.0
1722,1035952.21,1100000.0
1723,1119389.41,1150000.0
1724,907581.93,940000.0
1725,1636931.54,1650000.0
1726,4023903.85,3800000.0
1727,758537.59,675000.0
1728,1168194.77,1195000.0
1729,1931696.3,1865000.0
1730,830956.1,900000.0
1731,1165914.89,1160000.0
1732,1149205.8,1200000.0
1733,1977738.74,1920000.0
1734,3680741.55,3500000.0
1735,3711037.16,5100000.0
1736,2071316.0,2000000.0
1737,2111531.26,2100000.0
1738,1267170.43,1135000.0
1739,2590293.65,2325000.0
1740,2496073.72,2500000.0
1741,1272281.89,1250000.0
1742,2366192.82,2400000.0
1743,1869309.9,1950000.0
1744,1872915.86,1900000.0
1745,2584948.06,2580000.0
1746,4200853.82,4200000.0
1747,1164981.96,1195000.0
1748,2099423.89,2049999.9999999998
1749,1965352.77,1975000.0
1750,4315952.3,4550000.0
1751,2353641.03,2300000.0
1752,1668458.46,1600000.0
1753,2165407.18,2125000.0
1754,1953989.62,1800000.0
1755,2628699.54,2605000.0
1756,2314450.74,2295000.0
1757,1035130.5,1095000.0
1758,689271.93,650000.0
1759,3419001.34,3300000.0
1760,2907038.93,2795000.0
1761,3189058.78,3295000.0
1762,1915615.32,1946000.0
1763,862076.76,850000.0
1764,4007102.01,3995000.0
1765,2117401.36,2100000.0
1766,1387782.93,1325000.0
1767,1248288.75,1240000.0
1768,2373945.71,2335000.0
1769,1119389.41,1125000.0
1770,1869381.31,1850000.0
1771,2389007.09,2255000.0
1772,3757044.55,3720000.0
1773,1843876.96,1980000.0
1774,843116.1,845000.0
1775,1556107.52,1600000.0
1776,1489644.53,1500000.0
1777,2384631.4,2400000.0
1778,2764969.35,2900000.0
1779,2495744.47,2395000.0
1780,2540720.7,2595000.0
1781,1820229.89,1720000.0
1782,3265774.01,3130000.0
1783,1064644.93,1075000.0
1784,782987.36,800000.0
1785,2085363.63,2075000.0000000002
1786,4353389.26,4750000.0
1787,2904350.28,3000000.0
1788,768526.26,745000.0
1789,1314584.61,1240000.0
1790,1446106.91,1650000.0
1791,1456935.52,1450000.0
1792,778906.52,795000.0
1793,1999100.21,1920000.0
1794,1294994.95,1300000.0
1795,3783489.23,3800000.0
1796,1396923.78,1400000.0
1797,2537078.14,2595000.0
1798,1036266.92,950000.0
1799,1725771.31,1825000.0
1800,2158477.54,2195000.0
1801,2067830.56,2025000.0
1802,1727601.89,1850000.0
1803,2257335.66,2300000.0
1804,1436735.03,1430000.0
1805,2570847.51,2495000.0
1806,1962554.45,1900000.0
1807,839380.68,715000.0
1808,1529590.01,1475000.0
1809,2041496.99,1900000.0
1810,2700233.7,2650000.0
1811,2158477.54,2195000.0
1812,1405007.24,1350000.0
1813,2495795.73,2675000.0
1814,1285184.86,1230000.0
1815,7621292.11,8950000.0
1816,2386551.14,2320000.0
1817,2113154.89,1995000.0
1818,3315411.09,3395000.0
1819,980840.86,1020000.0
1820,927832.19,900000.0
1821,1261855.36,1250000.0
1822,3370914.22,3350000.0
1823,2496315.72,2550000.0
1824,3414714.1,3350000.0
1825,1348571.66,1350000.0
1826,1626906.63,1660000.0
1827,1607303.14,1695000.0
1828,3212183.0,3250000.0
1829,2680161.71,2700000.0
1830,1731417.42,2049999.9999999998
1831,1382127.88,1370000.0
1832,1028134.23,1000000.0
1833,6582902.91,5350000.0
1834,1460968.73,1375000.0
1835,1830450.06,1870000.0
1836,2043970.35,2000000.0
1837,2643465.04,2650000.0
1838,1631770.01,1860000.0
1839,1350543.5,1250000.0
1840,3194347.62,3250000.0
1841,1962462.07,1995000.0
1842,5221918.58,5200000.0
1843,4037099.36,4250000.0
1844,1530195.71,1500000.0
1845,1543437.84,1420000.0
1846,2399485.59,2400000.0
1847,1424309.61,1395000.0
1848,2362177.85,2400000.0
1849,1380215.76,1320000.0
1850,872650.86,870000.0
1851,1818622.23,1900000.0
1852,3178394.32,3025000.0
1853,2141119.72,2230000.0
1854,1370053.77,1350000.0
1855,1423727.04,1385000.0
1856,2593199.49,2675000.0
1857,2330840.11,2500000.0
1858,3305713.42,3345000.0
1859,4520082.0,4700000.0
1860,3997313.98,4019999.9999999995
1861,1654660.22,1700000.0
1862,2740697.86,2875000.0
1863,1013261.68,1150000.0
1864,6056901.93,6250000.0
1865,1339113.59,1400000.0
1866,5195192.81,5225000.0
1867,4166203.98,4300000.0
1868,1348525.05,1475000.0
1869,1655325.53,1495000.0
1870,3453832.15,3495000.0
1871,1241634.01,1260000.0
1872,1788768.53,1795000.0
1873,1534769.3,1500000.0
1874,2078484.77,2250000.0
1875,3604328.39,3300000.0
1876,1122850.54,1165000.0
1877,1293238.04,1375000.0
1878,1549550.89,1550000.0
1879,6119995.12,5950000.0
1880,2466217.76,2525000.0
1881,2705237.87,2700000.0
1882,8546627.04,8550000.0
1883,1731077.67,1650000.0
1884,1833143.47,1800000.0
1885,2534281.02,2625000.0
1886,1674226.88,1700000.0
1887,1729674.94,1800000.0
1888,1625341.89,1700000.0
1889,909118.35,895000.0
1890,2851272.58,2800000.0
1891,2423502.92,2440000.0
1892,2107804.3,2040000.0
1893,2557365.66,2550000.0
1894,1616895.79,1580000.0
1895,2093888.04,2000000.0
1896,2314275.03,2220000.0
1897,1624330.76,1700000.0
1898,2282205.58,2295000.0
1899,1021439.91,1125000.0
1900,2832450.39,2985000.0
1901,1454062.22,1475000.0
1902,829967.56,770000.0
1903,1303391.7,1295000.0
1904,1051350.24,995000.0
1905,809760.15,730000.0
1906,2220862.15,2220000.0
1907,2521100.76,2550000.0
1908,1231464.51,1250000.0
1909,2227738.38,2130000.0
1910,1682289.0,1600000.0
1911,3696475.03,3550000.0
1912,1826413.75,1760000.0
1913,1170127.51,1150000.0
1914,1971149.09,2000000.0
1915,4173917.29,4099999.9999999995
1916,2868187.9,2870000.0
1917,752417.62,800000.0
1918,2149815.08,2195000.0
1919,1241330.74,1300000.0
1920,1403629.18,1400000.0
1921,1806462.53,1725000.0
1922,2527958.63,2635000.0
1923,3444304.23,3500000.0
1924,2454077.48,2475000.0
1925,1597348.81,1600000.0
1926,963058.23,965000.0
1927,4006130.7,3945000.0
1928,1830297.95,1830000.0
1929,1412980.32,1395000.0
1930,4366034.03,4700000.0
1931,2482492.69,2550000.0
1932,2598480.7,2745000.0
1933,1229005.22,1200000.0
1934,3729089.5,3495000.0
1935,1976439.0,1950000.0
1936,3271604.78,3230000.0
1937,3717343.81,3800000.0
1938,1561468.6,1550000.0
1939,1019723.77,1060000.0
1940,2350269.56,2350000.0
1941,669329.29,700000.0
1942,1364018.32,1355000.0
1943,3052745.82,2995000.0
1944,2891032.22,2750000.0
