Prästahejdan, 4100000  ,NaN,6,135, 495m² tomt 39m² biarea 
Värpinge, 2800000  , 27264 ,4,102.7, 6658 
Borgmästaregården, 2130000  , 26135 ,3,81.5, 4802 
Norra Åsum, 1605000  ,NaN,6,135, 1196m² tomt 85m² biarea 
Ödåkra/Björka, 1945000  ,NaN,3,94, 4161 
Skurup, 1300000  ,NaN,4,66, 400m² tomt 19m² biarea 
Drottningtorget, 4800000  , 43636 ,3,110, 5951 
Centrum, 2975000  , 32692 ,4,91, 4763 
Jonstorp, 2300000  ,NaN,3,85, 1180m² tomt 
Kroksbäck, 1200000  , 14035 ,3,85.5, 5004 
Rörsjöstaden, 2700000  , 32927 ,3,82, 5354 
Höllviken, 6450000  ,NaN,8,124, 809m² tomt 124m² biarea 
Barsebäck by, 3620000  ,NaN,5,106, 5291 
Höllviken/Kanalgatorna, 6600000  ,NaN,3,106, 484m² tomt 7m² biarea 
Västra Hamnen, 1620000  , 52258 ,1,31, 2173 
Vanneberga, 2750000  ,NaN,3,115, 25076m² tomt 
Staffanstorp - Centrum, 1725000  , 23630 ,3,73, 4571 
Dammfri, 1700000  , 30357 ,2,56, 3998 
Väster, 4010000  , 47176 ,3,85, 4502 
Centrumnära, 2050000  , 24551 ,3,83.5, 4915 
Segevång, 1500000  , 20979 ,3,71.5, 4458 
not specified, 1100000  ,NaN,4,112, 920m² tomt 
Sorgenfri, 1410000  , 23500 ,2,60, 3892 
Sofieberg, 4250000  ,NaN,5,87, 507m² tomt 87m² biarea 
Åkerbruket, 3200000  , 30476 ,5,105, 4823 
Lund - Centralt, 2900000  , 58000 ,2,50, 3040 
Limhamns Sjöstad, 4300000  , 46739 ,4,92, 5352 
Limhamn, 2550000  , 36429 ,3,70, 4080 
Videdal, 4100000  ,NaN,4,121, 562m² tomt 
Ellstorp, 1330000  , 28298 ,2,47, 3852 
Vellinge, 3250000  , 36111 ,4,90, 5223 
Söder, 1370000  , 16310 ,3,84, 5412 
Kyrkbyn, 4000000  ,NaN,5,130, 388m² tomt 
Västra Hamnen, 1900000  , 40426 ,2,47, 2697 
Veberöd, 5050000  ,NaN,5,129, 829m² tomt 
Trelleborg, 1150000  , 20721 ,2,55.5, 4213 
S:t Knut, 2600000  , 37681 ,2,69, 4698 
Eskilstorp, 4600000  ,NaN,4,121, 339m² tomt 
Norr, 3500000  , 40230 ,3,87, 6009 
Enoch Thulins Väg, 1495000  , 19933 ,3,75, 4392 
Dammfri, 2600000  , 28571 ,4,91, 6335 
Lund - Centrum, 3320000  , 54695 ,2,60.7, 3350 
Davidshall/Malmö Opera, 4050000  , 49390 ,3,82, 4677 
Arlöv, 1525000  , 18598 ,3,82, 3314 
Dockan, 2395000  , 44352 ,2,54, 3351 
Södra Sandby, 1700000  , 26563 ,2,64, 4284 
Mariastaden, 3075000  ,NaN,4,90, 4401 
Hästhagen, 3010000  , 54727 ,2.5,55, 3324 
Limhamn, 2650000  , 38686 ,3,68.5, 3487 
Husensjö, 1200000  , 21239 ,2,56.5, 4184 
Ystad, 6900000  ,NaN,5,160, 895m² tomt 25m² biarea 
Sövestad, 3600000  ,NaN,4,110, 1091m² tomt 62m² biarea 
Åstorp, 1700000  ,NaN,4,108, 734m² tomt 75m² biarea 
Husie, 1405000  , 23033 ,2,61, 3094 
Västra Sjöstaden, 3100000  , 25833 ,4,120, 4776 
Centralt, 4850000  , 46635 ,4,104, 5367 
Dalaplan, 1430000  , 31087 ,1.5,46, 2317 
Centralt, 2855000  ,NaN,4,124, 979m² tomt 40m² biarea 
Lönngården, 900000  , 17308 ,2,52, 4036 
Västergård, 2050000  ,NaN,4,94.5, 6679 
Väster, 1950000  , 25490 ,3,76.5, 4573 
Västra Fäladen, 1695000  , 13560 ,6,125, 8706 
Brantevik, 4750000  ,NaN,3,71, 444m² tomt 20m² biarea 
Arkelstorp, 1200000  ,NaN,5,79, 844m² tomt 79m² biarea 
S:t Knut, 3960000  , 58235 ,3,68, 4441 11m² biarea 
Miatorp, 1150000  , 14375 ,3,80, 5451 
Östermalm, 1200000  , 18321 ,3,65.5, 4760 
Hässleholm - Väster, 1105000  , 14539 ,3,76, 4251 
Lorensborg, 1910000  , 25298 ,3,75.5, 3489 
Vinslöv, 145000  , 5577 ,1,26, 2176 
Hässleholm - Väster, 900000  , 15652 ,2,57.5, 3510 
Centrum, 1800000  , 56250 ,1,32, 2363 
Tornlyckan, 1920000  , 34909 ,2,55, 3222 
Tornlyckan, 1470000  , 36750 ,2,40, 2343 
Tornlyckan, 2265000  , 36532 ,2,62, 3632 
Tornlyckan, 3195000  , 34728 ,4,92, 5390 
Helsingborg, 1220000  , 23689 ,2,51.5, 3820 
S:t Knut, 2085000  , 49761 ,2,41.9, 2185 
Ramlösa, 3700000  ,NaN,6,160, 355m² tomt 
Klosters Fälad, 2800000  , 33136 ,3,84.5, 3981 
Borrby, 2900000  ,NaN,4,100, 323m² tomt 36m² biarea 
Åstorp, 3430000  ,NaN,5,154, 724m² tomt 80m² biarea 
Kulladal/Gröndal, 7200000  ,NaN,6,190, 758m² tomt 95m² biarea 
Centrum, 1760000  , 51765 ,2,34, 2300 
Gamla Limhamn, 7000000  ,NaN,3,92, 246m² tomt 
Lugnet, 2830000  , 37237 ,3,76, 4621 
Centralt, 3300000  , 58929 ,2,56, 2631 
not specified, 1320000  ,NaN,3,88, 7249m² tomt 
Östervärn, 1305000  , 34342 ,2,38, 2516 
Helsingborg, 1710000  ,NaN,4,105.5, 7155 
Parkstaden/Egna Hem, 1300000  , 21667 ,2.5,60, 4460 
Centrala staden, 2695000  , 69103 ,2,39, 2216 
Elinelund, 1895000  , 37157 ,2,51, 2893 
Lugnet, 3700000  , 32743 ,4,113, 5254 
not specified, 2750000  , 32544 ,3,84.5, 4112 
Stattena, 1050000  ,NaN,5,110, 865m² tomt 100m² biarea 
Husie, 1600000  ,NaN,5,892,Rent not specified
not specified, 2250000  , 27950 ,4,80.5, 6085 
Olympia, 1925000  , 29615 ,2,65, 3550 
Ribersborg, 3700000  , 50685 ,3,73, 4441 
Lorensborg, 1410000  , 24956 ,2,56.5, 3170 
Söderkulla, 1900000  , 21469 ,3,88.5, 4789 
