region,price,price per sq mtr,rooms,size,rent
Ön,3720000, 37200 ,3.0,100.0, 4574 
Drottningtorget,4195000, 37793 ,4.0,111.0, 6518 
Nydala,1560000, 20800 ,4.0,75.0, 4154 
Möllevången,2100000, 27273 ,3.0,77.0, 4095 
Västra hamnen,2350000, 44340 ,2.0,53.0, 3261 
Kirseberg,650000, 22807 ,1.0,28.5, 2421 
Högaholm,1460000, 18025 ,3.0,81.0, 5369 
Almvik,1500000, 18750 ,3.0,80.0, 4520 
Ellstorp,1195000, 23431 ,2.0,51.0, 3740 
Lönngården,950000, 19792 ,2.0,48.0, 2664 
Ellstorp,1450000, 29000 ,2.0,50.0, 3629 
Rörsjöstaden,1035000, 35690 ,1.0,29.0, 2262 
Håkanstorp,2550000, 24878 ,5.0,102.5, 5652 
Ribersborg,3900000, 35455 ,4.0,110.0, 
Sorgenfri,1550000, 29245 ,2.0,53.0, 3026 
Ellstorp,1450000, 27358 ,2.0,53.0, 2881 
Norra Sorgenfri,1275000, 34459 ,1.0,37.0, 2284 
Almvik,1400000, 23729 ,2.0,59.0, 4490 
Högaholm,1085000, 13152 ,3.0,82.5, 3732 
Triangeln,2292000, 36968 ,2.0,62.0, 3229 
St Knut,1750000, 48611 ,2.0,36.0, 1831 
S:t Knut / Sankt Knut,1860000, 44286 ,2.0,42.0, 1858 
Limhamn,1560000, 29213 ,2.0,53.4, 2746 
Östra Sorgenfri/nobel,1275000, 28977 ,2.0,44.0, 2747 
Nobeltorget,1105000, 26310 ,2.0,42.0, 2938 
Dockan,2500000, 48077 ,2.0,52.0, 3282 
Ribersborg,2900000, 37662 ,3.0,77.0, 4567 
Södertorp,1850000, 22156 ,3.0,83.5, 4611 
Östra Sorgenfri,1355000, 22966 ,2.0,59.0, 4224 
Pildammsparken,2850000, 30255 ,3.5,94.2, 5376 
Rörsjöstaden,2200000,price not specified,4.0,102.0, 5494 
S:t Knut,1700000, 34694 ,1.5,49.0, 2186 
Nobel,1290000, 24808 ,2.0,52.0, 3237 
Södervärn,1420000, 26792 ,2.5,53.0, 3157 
Segevång,970000, 16581 ,2.0,58.5, 3810 
Dalaplan/Södervärn,1175000, 21057 ,2.0,55.8, 3132 
Husie,1950000, 25325 ,4.0,77.0, 4808 
Västra Hamnen,1600000, 61538 ,1.0,26.0, 1606 
Östervärn,1675000, 29911 ,2.0,56.0, 3509 
Östra Sorgenfri,1165000, 31067 ,1.0,37.5, 2237 
Bulltofta Friluftsstad,2900000, 22481 ,5.0,129.0, 6455 
Ellstorp,1145000, 27927 ,2.0,41.0, 3202 
Davidshall,2200000, 66667 ,1.0,33.0, 1506 
City,2100000, 50000 ,2.0,42.0, 2775 
S:t Knuts Torg,1900000, 43182 ,1.0,44.0, 2463 
Västra Hamnen,3945000, 45872 ,4.0,86.0, 4437 
Lönngården,950000, 17790 ,1.5,53.4, 3629 
Slottsstaden,2715000, 34586 ,3.0,78.5, 5355 
Slussen,2400000, 40000 ,2.0,60.0, 2372 
Högaholm,1810000, 18191 ,4.0,99.5, 4277 
Fosiedal,1300000, 16049 ,3.5,81.0, 5325 
Nobeltorget,1380000, 33659 ,2.0,41.0, 2704 
Borgmästaregården,2000000, 23810 ,3.0,84.0, 4630 
Östervärn,1350000, 27273 ,2.0,49.5, 2593 
Möllevången,1350000, 25962 ,2.0,52.0, 3913 
Ön,3245000, 33802 ,4.0,96.0, 5310 
Rörsjöstaden,1850000, 47436 ,1.0,39.0, 2277 
Dammfri,1735000, 30174 ,2.0,57.5, 4099 
Lindeborg,750000, 25862 ,1.0,29.0, 1748 
Hyllie,2575000, 32595 ,3.0,79.0, 4091 
Oxie,2150000,price not specified,4.0,109.0, 4735 
Ribersborg,1800000, 42857 ,1.5,42.0, 3090 
Dammfri,2100000, 38532 ,2.0,54.5, 2853 
Östervärn,3015000, 35893 ,3.0,84.0, 4129 
Ellstorp,1605000, 29722 ,2.0,54.0, 2933 
Högaholm,1280000, 15706 ,3.0,81.5, 3748 
Slottsstaden,2400000, 40000 ,2.0,60.0, 3230 
Hästhagen,1610000, 36591 ,2.0,44.0, 3042 
Dammfri,2600000, 33987 ,3.0,76.5, 3765 
Norra Sorgenfri,2750000, 34810 ,3.0,79.0, 4075 
Limhamn,1395000, 23250 ,2.0,60.0, 4036 
Stadsteatern/Davidshall,5100000, 41803 ,5.0,122.0, 6263 
Lönngården,900000, 18750 ,2.0,48.0, 2664 
Västra hamnen,6850000, 64079 ,3.0,106.9, 7235 
Värnhem/Rörsjöstaden,1600000, 23881 ,3.5,67.0, 4673 
Slottsstaden,2195000, 39196 ,2.0,56.0, 2996 
Persborg/västra Kattarp,1365000, 15000 ,4.0,91.0, 4862 
Möllevången,2040000, 37091 ,2.0,55.0, 4000 
Lorensborg,2025000, 27000 ,3.0,75.0, 4062 
Drottningtorget,1920000, 36923 ,2.0,52.0, 2522 
Rörsjöstaden/Värnhem,3200000, 37209 ,2.5,86.0, 4383 
