region,price,price per sq mtr,rooms,size,rent
Almhög,1285000, 18489 ,3.0,69.5, 4255 
Limhamn - Ön,2095000, 30809 ,2.0,68.0, 4435 
Möllevången,1195000, 29875 ,1.5,40.0, 2568 
Dockan,4075000, 63672 ,2.0,64.0, 3867 
City,4100000, 41206 ,3.0,99.5, 5448 
Slottsstaden,2195000, 34841 ,2.0,63.0, 3334 
Slottsstaden,1975000, 47024 ,2.0,42.0, 2651 
Norra Sorgenfri,2870000, 38267 ,3.0,75.0, 4245 
Dockan,1700000, 51515 ,1.0,33.0, 2523 
Högaholm,1200000, 14724 ,3.0,81.5, 3732 
Limhamn,1675000, 27917 ,2.0,60.0, 4036 
Gamla Väster,4395000, 51706 ,3.0,85.0, 4581 
Nobeltorget,1195000, 26854 ,1.5,44.5, 2630 
Östra Sorgenfri/nobel,1500000, 23885 ,2.0,62.8, 4137 
S:t Knut,1545000, 37683 ,1.5,41.0, 2335 
Eriksfält,755000, 26125 ,1.0,28.9, 1624 
Dockan,2050000, 44565 ,2.0,46.0, 3117 
Dockan,5000000, 57471 ,3.0,87.0, 4692 
Dockan,1950000, 42391 ,2.0,46.0, 3117 
Kulladal,3600000,price not specified,5.0,105.0, 4895 
Västra Hamnen,2295000, 45446 ,2.0,50.5, 2777 
Slottstaden,2875000, 54245 ,2.0,53.0, 2889 
Dalaplan,1370000, 27959 ,2.0,49.0, 2580 
Möllevången,2520000, 33158 ,3.0,76.0, 3773 
Håkanstorp,875000, 21875 ,1.0,40.0, 2075 
Rörsjöstaden,1450000, 40730 ,1.0,35.6, 2081 
Limhamns Sjöstad,2225000, 42788 ,2.0,52.0, 3052 
Ellstorp,1310000, 25686 ,2.0,51.0, 3740 
Söderkulla,1430000, 16158 ,3.0,88.5, 4695 
Segevång,1355000, 18951 ,3.0,71.5, 4086 
Lorensborg,1950000, 22159 ,3.0,88.0, 4029 
Rosengård,980000, 12250 ,3.0,80.0, 5320 
Högaholm,860000, 13438 ,2.0,64.0, 4421 
Triangeln,750000, 34091 ,1.0,22.0, 1620 
Pildammarna,2295000, 26686 ,3.0,86.0, 5664 
Borgmästaregården,1890000, 29531 ,2.0,64.0, 3889 
Almhög,1175000, 16906 ,3.0,69.5, 4320 
Västra Kattarp/Hindby,915000, 16636 ,2.0,55.0, 3693 
Västra Sorgenfri,1475000, 28922 ,1.5,51.0, 2985 
Höja,1635000, 21513 ,3.0,76.0, 2617 
Limhamn,1950000, 35455 ,2.0,55.0, 3238 
Ribersborg,3500000, 47297 ,2.0,74.0, 4207 
Ellstorp,1100000, 27500 ,2.0,40.0, 3306 
Nobeltorget,1250000, 31969 ,1.0,39.1, 2032 
Slottsstaden,2500000, 41667 ,2.0,60.0, 3260 
Rosengård,940000, 11190 ,3.0,84.0, 5633 
City,2875000, 54245 ,2.0,53.0, 3433 
Folkets Park,2850000, 39583 ,2.0,72.0, 3524 
Högaholm,1750000, 17588 ,4.0,99.5, 4303 
Hyllie,2720000, 38310 ,3.0,71.0, 3680 
Sorgenfri,1260000, 30000 ,2.0,42.0, 2867 
Erikslust,2460000, 32800 ,3.0,75.0, 5256 
Erikslust,2100000, 35593 ,2.0,59.0, 3431 
Kryddgården / Rosengård,825000, 9821 ,4.0,84.0, 6504 
Dammfri,2250000, 37500 ,2.0,60.0, 3096 
Dockan,3795000, 45179 ,3.0,84.0, 3122 
Rörsjöstaden,1700000, 33663 ,2.0,50.5, 3012 
Vita Höja,1570000, 18471 ,3.0,85.0, 4822 
Ellstorp,760000, 30400 ,1.0,25.0, 1956 
Almvik,1550000, 17033 ,4.0,91.0, 5662 
Triangeln,2340000, 37742 ,2.5,62.0, 3229 
Slottsstaden/Erikslust,3375000, 41667 ,3.0,81.0, 5400 
Folkets Park,1995000, 39900 ,2.0,50.0, 2799 
Limhamn,1595000, 26583 ,2.0,60.0, 4035 
Blekingsborg,895000, 24189 ,1.0,37.0, 2599 
S:t Knut,1750000, 38462 ,1.5,45.5, 2066 
Lindeborg,3000000,price not specified,4.0,120.0, 5997 
Slottsstaden,1920000, 35556 ,2.0,54.0, 4193 
Limhamn,2605000, 25792 ,4.0,101.0, 6681 
S:t Knut,1100000, 37288 ,1.0,29.5, 1746 
Rörsjöstaden,4060000, 36025 ,4.0,112.7, 5648 
Rörsjöstaden,2795000, 45081 ,2.0,62.0, 1834 
Dockan,1565000, 47424 ,1.0,33.0, 2301 
Söderkulla,1380000, 23000 ,2.0,60.0, 3022 
Möllevången,3100000, 32632 ,3.0,95.0, 5526 
Rörsjöstaden,4995000, 40943 ,4.5,122.0, 5517 
Västra Hamnen,3695000, 48618 ,3.0,76.0, 4776 
Gyllins Trädgård,2800000, 30435 ,3.0,92.0, 4959 
Slussen,2760000, 41818 ,2.0,66.0, 3728 
Ribersborg,2510000, 40484 ,2.0,62.0, 3419 
Friluftsstaden,5175000, 54188 ,4.0,95.5, 4949 
Norra Sofielund,1395000, 27900 ,2.0,50.0, 3112 
Västra Hamnen,3775000, 53395 ,4.0,70.7, 5605 
Södervärn,1345000, 23190 ,2.0,58.0, 3449 
Pildammarna,2100000, 27273 ,3.5,77.0, 5602 
Klagshamn,1750000, 31818 ,2.0,55.0, 3624 
Klagshamn,2450000, 30625 ,3.0,80.0, 4569 
Kirseberg,1600000, 26981 ,2.5,59.3, 2290 
Möllevången,2300000, 25275 ,4.5,91.0, 5721 
Kirseberg,795000, 22083 ,2.0,36.0, 2987 
Bulltofta,2210000, 31571 ,3.0,70.0, 4329 
Västra Hamnen,2695000, 48125 ,2.0,56.0, 3095 
Gamla Väster,4800000, 44037 ,3.0,109.0, 4761 
Östra Sorgenfri,795000, 17283 ,1.0,46.0, 3149 
Rörsjöstaden,2870000, 38216 ,3.0,75.1, 3897 
Ribersborg,2595000, 38162 ,2.0,68.0, 3972 
Nydala,1350000, 17647 ,3.0,76.5, 4366 
Triangeln,3200000, 48485 ,2.0,66.0, 3802 
Limhamn,1700000, 33010 ,2.0,51.5, 3490 
Triangeln,2195000, 34841 ,2.0,63.0, 3219 
Gamla Väster,4595000, 44183 ,3.0,104.0, 5507 
Hästhagen,5350000, 48198 ,4.0,111.0, 5318 
Norra Sorgenfri,1995000, 39118 ,2.0,51.0, 2994 
Drottningtorget,3200000, 34783 ,4.0,92.0, 6136 
Söderkulla,1280000, 14884 ,3.0,86.0, 4413 
Borgmästargården,1780000, 27385 ,2.0,65.0, 3858 
Limhamn,1530000, 30237 ,2.0,50.6, 2807 
Rosengård,940000, 11824 ,3.0,79.5, 5292 
Möllevången,2395000, 32808 ,2.5,73.0, 4421 
Pildammarna,3710000, 40769 ,3.5,91.0, 5451 
Ribersborg,4350000, 33721 ,4.0,129.0, 6825 
Limhamn,3380000,price not specified,4.0,104.5, 4993 
Dockan,6995000, 55960 ,5.0,125.0, 6159 
Västra Sorgenfri,1550000, 35227 ,2.0,44.0, 3529 
Östra Sorgenfri,1600000, 21622 ,3.0,74.0, 4762 
Möllevången,2095000, 43646 ,2.0,48.0, 2803 
Fågelbacken,1795000, 30424 ,2.0,59.0, 4004 
Högaholm,1150000, 11856 ,3.0,97.0, 5985 
S:t Knut,1840000, 40889 ,2.0,45.0, 3174 
Hyllie,1605000, 45857 ,2.0,35.0, 2150 
Kirseberg,1160000, 22745 ,2.0,51.0, 2483 
Ribersborg,2820000, 51273 ,2.0,55.0, 3887 
Lorensborg,1865000, 22883 ,3.0,81.5, 4173 
Limhamns Sjöstad,2150000, 43000 ,2.0,50.0, 2991 
Fågelbacken,2700000, 31395 ,3.0,86.0, 4976 
Lönngården,915000, 19063 ,1.5,48.0, 2664 
Västra Hamnen,1650000, 63462 ,1.0,26.0, 1606 
Limhamn,2000000, 35088 ,2.0,57.0, 3374 
Husie,2200000, 20755 ,4.0,106.0, 5253 
Gamla staden,5100000, 53684 ,3.0,95.0, 4305 
Bulltofta,2350000, 32192 ,3.0,73.0, 4669 
Ribersborg,5350000, 55155 ,4.0,97.0, 3723 
Limhamn,2100000, 35593 ,3.0,59.0, 4095 
Gamla Väster,5100000, 30539 ,4.0,167.0, 10180 
Söderkulla,1750000, 19553 ,3.0,89.5, 5457 
Möllevången/Folkets Park,1995000, 31667 ,2.0,63.0, 3083 
Dammfri,1855000, 33423 ,2.0,55.5, 2424 
Dockan,5200000, 47016 ,3.0,110.6, 6300 
Ellstorp,1125000, 30405 ,1.0,37.0, 2440 
Nydala,900000, 15000 ,2.0,60.0, 3703 
Gula Höja,1495000, 18571 ,3.0,80.5, 3222 
Slottsstaden,1950000, 34821 ,2.0,56.0, 3297 
Ribersborg,3050000, 43571 ,2.0,70.0, 2957 
Hästhagen,2970000, 38571 ,3.0,77.0, 4706 
Borgmästaregården,1400000, 34568 ,2.0,40.5, 2515 
Pildammsparken,4500000, 42453 ,3.5,106.0, 5983 
Högaholm,900000, 20000 ,2.0,45.0, 2910 
Bunkeflostrand,2000000, 24301 ,3.0,82.3, 5518 
Limhamn,1495000, 26696 ,2.0,56.0, 3588 
Limhamn,2000000, 26667 ,3.0,75.0, 4518 
Blekingsborg,1770000, 23444 ,3.0,75.5, 4614 
Erikslust,2070000, 32093 ,3.0,64.5, 3648 
Nobeltorget,980000, 22529 ,2.0,43.5, 2684 
Almhög,1130000, 14868 ,3.0,76.0, 4994 
Erikslust,3850000, 35321 ,5.0,109.0, 6280 
Dammfri,3450000, 29870 ,4.0,115.5, 4558 
Rörsjöstaden,2150000, 37719 ,2.0,57.0, 2938 
Rörsjöstaden,1950000, 48148 ,2.0,40.5, 1610 
Bulltofta Friluftsstad,2710000, 31512 ,4.0,86.0, 5328 
Rörsjöstaden,1400000, 29787 ,1.0,47.0, 3159 
Erikslust,2200000, 33333 ,3.0,66.0, 3716 
Ellstorp,1260000, 23333 ,2.0,54.0, 3977 
Sorgenfri,1350000, 25962 ,2.0,52.0, 3537 
Rådmansvången,2000000, 35088 ,2.0,57.0, 3601 
Apelgården,895000, 10982 ,3.0,81.5, 5216 
Ellstorp,1195000, 23431 ,2.0,51.0, 3740 
Sorgenfri,1275000, 24757 ,2.0,51.5, 2965 
Almvik,1810000, 18660 ,4.0,97.0, 5341 
Folkets Park,1425000, 35985 ,1.5,39.6, 1953 
S:t Knut,1950000, 38235 ,2.5,51.0, 2830 
Gamla Väster,3650000, 43452 ,2.5,84.0, 5334 
Solängen - Toftängen - Husie,1950000, 21081 ,3.0,92.5, 5695 
Limhamn,2800000, 42424 ,3.0,66.0, 3838 
Drottningtorget,2410000, 32133 ,3.0,75.0, 4412 
Slussen,1910000, 25986 ,3.0,73.5, 4822 
Dockan,4600000, 50218 ,3.0,91.6, 5276 
City,2100000, 44681 ,2.0,47.0, 3058 
Segevång,1350000, 20611 ,3.0,65.5, 3657 
Pildammarna,3400000, 37363 ,3.5,91.0, 5249 
Västra Hamnen,3350000, 41875 ,3.0,80.0, 4884 
Lönngården,1095000, 17381 ,2.5,63.0, 3665 
Lugnet,2330000, 31918 ,3.0,73.0, 5445 
Ribersborg,2375000, 43182 ,2.0,55.0, 3175 
Limhamn,1700000, 32692 ,2.0,52.0, 3612 
Södertorp,2800000, 26415 ,4.0,106.0, 6244 
Fågelbacken,2450000, 49000 ,2.0,50.0, 2389 
Ribersborg,3495000, 39270 ,3.0,89.0, 4883 
Kirseberg,850000, 29310 ,1.0,29.0, 2449 
Gamla Väster,4895000, 49444 ,3.0,99.0, 5522 
Värnhem,1695000, 22600 ,3.5,75.0, 4917 
Fosiedal,1040000, 13684 ,3.0,76.0, 4178 
Limhamn,1595000, 35444 ,1.5,45.0, 2330 
City,3700000, 61157 ,2.0,60.5, 2840 
Hyllie,2695000, 34551 ,3.0,78.0, 3613 
Slottsstaden,2000000, 37736 ,2.0,53.0, 3009 
Triangeln,2400000, 45283 ,2.0,53.0, 2716 
S:t Knut,2900000, 47040 ,2.5,61.7, 2730 
Nobeltorget,1950000, 28220 ,2.5,69.1, 3455 
Dockan,3300000, 45205 ,3.0,73.0, 4213 
Slussen,2110000, 31729 ,2.0,66.5, 4386 
Slottsstaden,2550000, 34000 ,3.0,75.0, 5256 
Kulladal,1470000, 16994 ,3.0,86.5, 4886 
Kirseberg,1080000, 18462 ,2.0,58.5, 3214 
Fågelbacken,2300000, 46000 ,2.0,50.0, 2389 
Västra Hamnen,2800000, 43077 ,3.0,65.0, 3439 
Persborg/västra Kattarp,820000, 14513 ,2.0,56.5, 3775 
Ribersborg,5200000, 56216 ,3.0,92.5, 4628 
Vita Höja,1550000, 18235 ,3.0,85.0, 4790 
Limhamn,1700000, 30357 ,2.0,56.0, 3729 
Lorensborg,1595000, 23630 ,3.0,67.5, 3616 
Västra Sorgenfri,1625000, 32500 ,2.0,50.0, 3111 
Triangeln,1700000, 38636 ,2.0,44.0, 2648 
Dammfri,1900000, 34545 ,2.0,55.0, 3092 
Drottningtorget,1900000, 37255 ,2.0,51.0, 3486 
Friluftsstaden,4600000,price not specified,4.0,96.0, 6080 
Ribersborg,1900000, 39583 ,2.0,48.0, 2771 
Nobeltorget,1150000, 28750 ,1.0,40.0, 2395 
Dockan,6000000, 68966 ,3.0,87.0, 4609 
Husie,1700000, 22078 ,4.0,77.0, 3673 
City,3995000, 34739 ,4.0,115.0, 4983 
Ribersborg,3295000, 46408 ,3.0,71.0, 3348 
Slottsstaden,2700000, 36735 ,3.0,73.5, 3787 
Nobeltorget,970000, 40417 ,1.0,24.0, 1393 
Västra Sorgenfri,1700000, 31481 ,2.0,54.0, 3504 
Bunkeflostrand,2775000, 32647 ,4.0,85.0, 4769 
Rörsjöstaden,1075000, 37069 ,1.0,29.0, 2427 
Gula Höja,1750000, 21739 ,3.0,80.5, 4528 
Västra Sorgenfri,1295000, 30833 ,2.0,42.0, 3369 
Västra Sorgenfri,1395000, 31348 ,2.0,44.5, 2507 
Västra Hamnen,2050000, 62121 ,1.5,33.0, 2267 
S:t Knut,3025000, 42014 ,2.5,72.0, 3594 
Limhamns Sjöstad,4020000, 43696 ,4.0,92.0, 5019 
Dalaplan,1420000, 28400 ,2.0,50.0, 2588 
S:t Knut,3350000, 47857 ,3.0,70.0, 3817 
Limhamn,1500000, 25862 ,2.0,58.0, 4461 
Ellstorp,1315000, 24352 ,2.0,54.0, 2873 
Husie,1495000, 28208 ,2.0,53.0, 3383 
Midhem,1110000, 19611 ,2.5,56.6, 2850 
Husie,1475000, 23413 ,3.0,63.0, 6047 
Dalaplan,1320000, 26939 ,2.0,49.0, 2229 
Pildammarna,2250000, 33988 ,2.0,66.2, 2948 
Östra Sorgenfri,1425000, 23750 ,2.0,60.0, 3961 
Rörsjöstaden,1830000, 25417 ,2.5,72.0, 4993 
Ribersborg,2850000, 37013 ,3.0,77.0, 4567 
Rosengård,900000, 11321 ,3.0,79.5, 5292 
Gamla Väster,2700000, 54545 ,2.0,49.5, 2896 
Blekingsborg,1550000, 28704 ,2.0,54.0, 3548 
Slussen,2400000, 37500 ,2.0,64.0, 3630 
Ribersborg,3550000, 44375 ,3.0,80.0, 4215 
Folkets Park,2895000, 38092 ,2.5,76.0, 4515 
Lindeborg,860000, 31852 ,1.0,27.0, 1644 
Nobeltorget,1400000, 24561 ,2.5,57.0, 3475 
Slussen,1715000, 27008 ,2.0,63.5, 4213 
Rörsjöstaden,3130000, 37262 ,3.5,84.0, 4600 
Slottsstaden,3800000, 37624 ,3.0,101.0, 5356 
Lugnet,3000000, 32787 ,3.0,91.5, 5580 
Limhamns Sjöstad,2800000, 44800 ,2.0,62.5, 2546 
Kulladal,1800000, 21429 ,3.0,84.0, 4622 
Lorensborg,1920000, 25430 ,3.0,75.5, 3543 
Ribersborg,2700000, 49091 ,2.0,55.0, 4027 
Slussen,2000000, 30075 ,2.0,66.5, 4386 
Ribersborg,2925000, 45000 ,2.0,65.0, 3552 
Västra Kattarp/Hindby,925000, 16372 ,2.0,56.5, 3718 
Lönngården,1020000, 19245 ,2.0,53.0, 3214 
Segevång,1080000, 19817 ,2.0,54.5, 3071 
Nobel,1200000, 23529 ,2.0,51.0, 3730 
Limhamns Sjöstad,2300000, 38983 ,2.0,59.0, 3228 
Gamla Väster,4700000, 53409 ,4.5,88.0, 4727 
Ellstorp,1190000, 25319 ,2.0,47.0, 3570 
Hyllie,1425000, 40714 ,1.5,35.0, 2087 
Ribersborg,2475000, 35357 ,3.0,70.0, 3121 
Dockan,2595000, 48056 ,2.0,54.0, 3270 
Limhamn,1685000, 33499 ,2.0,50.3, 3712 
Ribersborg,3700000, 37000 ,4.0,100.0, 5405 
Hyllie,3400000, 39080 ,4.0,87.0, 4548 
Hyllie,1775000, 46711 ,2.0,38.0, 2799 
Sorgenfri,2100000, 28767 ,3.0,73.0, 4035 
Slottstaden,2550000, 34228 ,3.0,74.5, 4213 
Ribersborg,3295000, 44527 ,3.0,74.0, 4441 
Gamla Väster,2595000, 49904 ,2.0,52.0, 2713 
Ribersborg,4200000, 43299 ,3.0,97.0, 4825 
Nobeltorget,1400000, 32407 ,1.5,43.2, 2296 
Nobeltorget,1385000, 33780 ,2.0,41.0, 2683 
Västra Hamnen,2300000, 46939 ,2.0,49.0, 2826 
Söderkulla,1300000, 14525 ,3.0,89.5, 5416 
Kvarnby,1850000,price not specified,2.0,69.0, 5745 
Dockan,4695000, 46029 ,4.0,102.0, 5279 
Limhamn,3595000,price not specified,4.0,102.0, 4465 
Limhamn,2450000, 27222 ,4.0,90.0, 6441 
Lindeborg,1250000, 28736 ,2.0,43.5, 2628 
Slottsstaden,3495000, 42622 ,2.0,82.0, 4622 
Annestad,1760000, 25143 ,3.0,70.0, 5688 
Dalaplan,895000, 22658 ,1.0,39.5, 2408 
Kirseberg,995000, 17768 ,2.0,56.0, 4108 
Triangeln,1320000, 28696 ,1.5,46.0, 3388 
Midhem,1150000, 19492 ,2.0,59.0, 3268 
S:t Knut,2895000, 32167 ,3.0,90.0, 6224 
Rörsjöstaden,5050000, 43162 ,3.5,117.0, 5453 
Lorensborg/Dammfri,2850000, 31148 ,4.0,91.5, 4291 
Södertorp,2200000, 25000 ,3.0,88.0, 5271 
Västra Hamnen,4100000, 43158 ,3.0,95.0, 5222 
Nobeltorget,1150000, 22115 ,2.0,52.0, 3950 
Ribersborg,2650000, 42742 ,2.0,62.0, 3355 
Slottsstaden,2900000, 40845 ,3.0,71.0, 4490 
Gröndal,2000000, 24096 ,3.0,83.0, 4397 
City,8150000, 36878 ,6.0,221.0, 9201 
Ribersborg,2650000, 41406 ,2.0,64.0, 3557 
Annelund,1195000, 19917 ,2.0,60.0, 4187 
Almvik,1430000, 17875 ,3.0,80.0, 5023 
Husie,2360000, 25514 ,3.0,92.5, 4765 
Söderkulla,1400000, 15642 ,3.0,89.5, 5416 
Dammfri,1075000, 45745 ,1.0,23.5, 1994 
Rörsjöparken,1360000, 27755 ,1.0,49.0, 2978 
Triangeln,2600000, 31138 ,3.0,83.5, 5026 
Västra Hamnen,11995000, 66271 ,5.0,181.0, 9090 
Ribersborg,1510000, 44412 ,1.0,34.0, 2527 
Kroksbäck,1350000, 15789 ,3.0,85.5, 4467 
Slussen,2095000, 28699 ,3.0,73.0, 4439 
Borgmästaregården,2200000, 28947 ,3.0,76.0, 4290 
Rörsjöstaden,2700000, 31034 ,3.0,87.0, 4768 
Rörsjöstaden,3300000, 40741 ,2.0,81.0, 4210 
Segevång,795000, 20921 ,1.0,38.0, 2569 
Rörsjöstaden,1895000, 35354 ,2.0,53.6, 3678 
Limhamn,1725000, 28750 ,2.0,60.0, 2758 
Lindeborg,1950000, 24684 ,3.0,79.0, 4278 
Pildammarna,1875000, 35377 ,2.0,53.0, 3973 
Kulladal,1695000, 21056 ,3.0,80.5, 4443 
Ribersborg,1750000, 46053 ,1.0,38.0, 2814 
Dockan,6000000, 59406 ,3.0,101.0, 5753 
Söderkulla,1500000, 17647 ,3.0,85.0, 4105 
Ribersborg,2450000, 41525 ,2.0,59.0, 3870 
Fosiedal,1100000, 17323 ,2.0,63.5, 3757 
Rörsjöstaden,2320000, 51556 ,2.0,45.0, 1793 
Folkets Park,2300000, 30997 ,2.5,74.2, 4304 
Ellstorp,885000, 25286 ,1.0,35.0, 2410 
Folkets Park,4100000, 37273 ,6.0,110.0, 5275 
Dockan,4695000, 49947 ,3.0,94.0, 4873 
Gula Höja,1900000, 23750 ,3.0,80.0, 4498 
Dockan,3950000, 65833 ,2.0,60.0, 2231 
Folkets park,995000, 41458 ,1.0,24.0, 2221 
Pildammarna,1035000, 36964 ,1.5,28.0, 1619 
Lindeborg,1400000, 22581 ,2.0,62.0, 3509 
Kroksbäck,1120000, 17500 ,2.0,64.0, 3515 
Drottningtorget,3275000, 32108 ,4.0,102.0, 6973 
Västra Hamnen,2300000, 52273 ,2.0,44.0, 2525 
City,3730000, 60161 ,2.0,62.0, 3515 
Limhamn,3275000, 35215 ,4.0,93.0, 4908 
Triangeln,1250000, 41946 ,1.0,29.8, 1621 
Malmö Live,5595000, 53798 ,3.0,104.0, 5089 
Sorgenfri,1795000, 37710 ,2.0,47.6, 1836 
Lindeborg,1260000, 20323 ,2.0,62.0, 3496 
Slottsstaden,2600000, 34211 ,3.0,76.0, 4288 
Värnhem,1750000, 23973 ,3.0,73.0, 5222 
Högaholm,1260000, 15460 ,3.0,81.5, 4141 
Slottsstaden,2500000, 32468 ,3.0,77.0, 4776 
Nobeltorget,1850000, 26619 ,2.0,69.5, 4194 
Hyllie,3300000, 33000 ,4.0,100.0, 5764 
Hyllie,3495000, 31773 ,4.5,110.0, 5818 
Västra Hamnen,2220000, 57364 ,2.0,38.7, 3069 
Nobeltorget,995000, 32097 ,1.0,31.0, 2204 
Västra Hamnen,3550000, 44375 ,3.0,80.0, 4726 
Rörsjöstaden,900000, 45000 ,1.0,20.0, 1677 
Dockan,1995000, 55417 ,1.0,36.0, 1684 
Ribersborg,4225000, 47472 ,3.0,89.0, 4840 
Kirseberg,1120000, 21961 ,2.0,51.0, 2511 
Dammfri,2200000, 37607 ,2.0,58.5, 3030 
Davidshall/Malmö Opera,6100000, 46212 ,5.0,132.0, 6186 
Möllevången,3100000, 35429 ,3.5,87.5, 5237 
Folkets Park,1250000, 28409 ,2.0,44.0, 2262 
Vita Höja,1690000, 19882 ,3.0,85.0, 4841 
Hyllie,2895000, 30798 ,4.0,94.0, 5082 
Nobeltorget,1320000, 27500 ,2.0,48.0, 3603 
Midhem,1400000, 27451 ,2.0,51.0, 2394 
Triangeln,2900000, 51786 ,2.0,56.0, 3192 
Limhamns Sjöstad,3250000, 43333 ,3.0,75.0, 4250 
Limhamn,2700000, 48214 ,2.0,56.0, 1575 
Drottningtorget,3695000, 38490 ,3.0,96.0, 5821 
Rörsjöstaden,2580000, 46739 ,2.0,55.2, 3133 
Dockan,3800000, 51351 ,3.0,74.0, 4128 
Östra Sorgenfri/nobel,1420000, 21353 ,3.0,66.5, 3663 
Östra Sorgenfri,1220000, 23922 ,2.0,51.0, 2916 
Kroksbäck,1030000, 16094 ,2.0,64.0, 3617 
City,2950000, 55660 ,2.0,53.0, 3472 
Västra Hamnen,1695000, 47746 ,1.5,35.5, 2178 
Malmö,2210000, 37143 ,2.0,59.5, 3645 
Triangeln,2375000, 29321 ,3.0,81.0, 5125 
Gula Höja,1440000, 18000 ,3.0,80.0, 3222 
Ribersborg,2995000, 42183 ,2.5,71.0, 4256 
Nobeltorget,1100000, 26570 ,1.0,41.4, 2692 
Gyllins Trädgård,3400000,price not specified,5.0,122.0, 5488 
Bunkeflostrand,1520000, 21714 ,3.0,70.0, 5616 
Hyllie,1705403, 50159 ,1.5,34.0, 2461 
Östra Sorgenfri,1195000, 19917 ,2.0,60.0, 3905 
Ellstorp,1140000, 21509 ,2.0,53.0, 2881 
Dammfri,1195000, 45785 ,1.0,26.1, 2050 
Hyllie,2150000, 36441 ,2.0,59.0, 3402 
Dockan,5750000, 59896 ,4.0,96.0, 5013 
Lugnet,3300000, 29730 ,4.0,111.0, 4954 
S:t Knut,1425000, 41912 ,1.0,34.0, 2767 
Limhamn - Ön,5400000, 54545 ,4.0,99.0, 5112 
Fågelbacken,1295000, 35972 ,1.0,36.0, 2882 
Slussen,2175000, 36250 ,2.0,60.0, 3151 
Slottsstaden,1825000, 33796 ,2.0,54.0, 3505 
Nobeltorget,1050000, 19811 ,2.0,53.0, 3813 
Persborg/västra Kattarp,640000, 17067 ,1.0,37.5, 2263 
Lindeborg,1930000, 24586 ,3.0,78.5, 4245 
S:t Knut,2570000, 33377 ,3.0,77.0, 4140 
Nydala,1400000, 17722 ,3.0,79.0, 4252 
Pildammarna,1715000, 32358 ,2.0,53.0, 2989 
Röda Höja,2400000, 22535 ,4.0,106.5, 
Hästhagen,2400000, 48000 ,2.0,50.0, 2389 
Slottsstaden,1870000, 38958 ,1.0,48.0, 3219 
Möllevången,3230000, 34000 ,3.5,95.0, 5517 
Kirseberg,870000, 15000 ,2.0,58.0, 4564 
Davidshall/Malmö Opera,2295000, 43302 ,2.0,53.0, 4171 
Västra Hamnen,2265000, 58077 ,1.5,39.0, 2544 
Husie,1950000, 18932 ,4.0,103.0, 7661 
Nobeltorget,1200000, 21818 ,2.0,55.0, 4204 
Ellstorp,940000, 26857 ,1.5,35.0, 2630 
Folkets Park,1800000, 40909 ,2.0,44.0, 2463 
Lindeborg,1350000, 22881 ,2.0,59.0, 5527 
Almhög,850000, 15741 ,2.0,54.0, 3398 
Söderkulla,1720000, 19218 ,4.0,89.5, 5457 
Ribersborg,3425000, 43910 ,3.0,78.0, 4593 
Erikslust,2100000, 31818 ,3.0,66.0, 3716 
Högaholm,1099000, 17584 ,2.0,62.5, 3350 
Borgmästaregården,1995000, 31172 ,2.0,64.0, 3717 
Slottsstaden,2010000, 40200 ,2.0,50.0, 3134 
Ribersborg,3400000, 46575 ,3.0,73.0, 4552 
Fosiedal,1210000, 15921 ,3.0,76.0, 4399 
Lindeborg,1750000, 22293 ,3.0,78.5, 4165 
Västra Sorgenfri,1900000, 38000 ,2.0,50.0, 3267 
Erikslust,2595000, 33701 ,3.0,77.0, 4332 
Högaholm,885000, 13828 ,2.0,64.0, 4421 
Kroksbäck,1230000, 19219 ,2.0,64.0, 3617 
Ribersborg,3300000, 41250 ,4.0,80.0, 4133 
Slottsstaden/Erikslust,2325000, 31000 ,3.0,75.0, 5204 
Slussen,1600000, 32653 ,2.0,49.0, 2711 
Triangeln,2800000, 42424 ,2.0,66.0, 3802 
Erikslust,1395000, 31000 ,1.0,45.0, 2691 
Dammfri,1075000, 32576 ,1.0,33.0, 2031 
Slottsstaden,1795000, 33551 ,2.0,53.5, 3918 
Drottningtorget,2205000, 42404 ,2.0,52.0, 2522 
Västra Hamnen,2560000, 48302 ,2.0,53.0, 3048 
Ellstorp,1095000, 31286 ,2.0,35.0, 2434 
Slussen,2050000, 34167 ,2.0,60.0, 2372 
Ön,3550000, 38378 ,3.0,92.5, 4095 
Gula Höja,780000, 18353 ,1.0,42.5, 1898 
Gamla Väster,2995000, 54455 ,2.0,55.0, 3706 
Drottningtorget,2875000, 37829 ,3.0,76.0, 3546 
Almhög,820000, 14138 ,2.0,58.0, 3494 
Bulltofta Friluftsstad,2200000, 31429 ,3.0,70.0, 4469 
Slottsstaden,3100000, 27679 ,4.0,112.0, 6312 
Gamla Väster,3850000, 51333 ,2.5,75.0, 2966 
S:T Knut,2395000, 31513 ,3.0,76.0, 4002 
Västra Hamnen,4200000, 43750 ,4.0,96.0, 5399 
Almhög,1200000, 15385 ,4.0,78.0, 4595 
Folkets Park,1200000, 34286 ,1.5,35.0, 2481 
Ön,2685000, 29185 ,3.0,92.0, 6001 
Limhamn,2900000, 34320 ,2.0,84.5, 4982 
S:t Knut,2800000, 50000 ,2.0,56.0, 1916 
Hyllie,2925000, 38487 ,3.0,76.0, 4592 
Högaholm,855000, 13359 ,2.0,64.0, 4727 
