region,price,price per sq mtr,rooms,size,rent
Gamla Väster,5400000,49091.0,4.0,110.0, 5720 
Kirseberg,1325000,25728.0,2.0,51.5, 3900 
Fågelbacken/Slottstaden/Hästhagen,2025000,42188.0,2.0,48.0, 3362 
Sjöbo,550000,14474.0,1.0,38.0, 3061 
Hyllie,4000000,38462.0,4.0,104.0, 5658 
Trädgårdsstaden,2795000,,5.0,114.0, 5201 
Hyllie,2800000,42424.0,3.0,66.0, 4063 
Helsingborg - Fredriksdal,950000,12025.0,3.0,79.0, 5279 
Almvik,1145000,13963.0,3.0,82.0, 5584 
Husensjö,1295000,23545.0,2.0,55.0, 4265 
Hyllie,2500000,41667.0,2.0,60.0, 2927 
Solslätt,550000,7534.0,3.0,73.0, 4527 
Trelleborg - Centralt,1020000,19245.0,2.0,53.0, 3908 
Limhamns Sjöstad,2350000,34559.0,2.0,68.0, 3471 
Klosters Fälad,2410000,24974.0,4.0,96.5, 5842 
Davidshall,3150000,60000.0,2.0,52.5, 3420 
Västervång,1725000,23630.0,3.0,73.0, 3550 
Västra Berga,1330000,15287.0,3.0,87.0, 5979 
S:t Knut / Sankt Knut,2700000,46552.0,2.0,58.0, 3243 
Borstahusen,1850000,44048.0,1.0,42.0, 2347 
Segevång,1050000,16031.0,3.0,65.5, 3746 
Almhög,810000,14862.0,2.0,54.5, 3532 
Pildammarna,2250000,28481.0,3.0,79.0, 5472 
Högaholm,1120000,17500.0,2.0,64.0, 3998 
Norra Fäladen,3000000,27523.0,4.0,109.0, 5843 
Brunnshög,3700000,39362.0,4.0,94.0, 5750 
Möllevången/Sofiaparken,3650000,36869.0,4.0,99.0, 6143 
Östermalm,1450000,22137.0,2.0,65.5, 3201 
Möllevången,1500000,37500.0,2.0,40.0, 3181 
Husie,845000,16900.0,2.0,50.0, 4748 
Hyllie,2700000,40909.0,3.0,66.0, 4063 
Norr,4200000,54194.0,3.0,77.5, 3636 
Kalkbrottet,3100000,37805.0,3.0,82.0, 3822 
Lomma - Strandstaden,5650000,54854.0,3.0,103.0, 6005 
Östra Torn,2600000,25366.0,4.0,102.5, 5826 
Centralt,2500000,33333.0,3.0,75.0, 4598 
Husensjö,1900000,23750.0,3.0,80.0, 5133 
Kristineberg,2940000,,5.0,121.0, 5989 
Rinnebäck,1680000,14545.0,4.0,115.5, 8096 
Ljunghusen,3495000,58938.0,2.0,59.3, 2855 
Söderkulla,2100000,22105.0,4.0,95.0, 4804 
Centrum Lund,1975000,39109.0,2.0,50.5, 2899 
Västra Berga,1290000,21322.0,2.0,60.5, 4482 
Rådmansvången,4400000,48889.0,3.0,90.0, 4424 
Hyllie,2895000,38600.0,3.0,75.0, 3995 
Fågelbacken,2400000,48000.0,2.0,50.0, 2389 
Rådmansvången,2550000,43966.0,2.0,58.0, 4068 
Landskrona,735000,13364.0,2.0,55.0, 4380 
Lomma,2900000,56863.0,2.0,51.0, 2931 
HÖGAHOLM,1240000,15215.0,3.0,81.5, 4229 
Hästhagen,2150000,43000.0,2.0,50.0, 3402 
Centrum,3700000,46835.0,3.0,79.0, 4423 
City,4300000,55844.0,3.0,77.0, 4950 
Erikslust,1250000,34722.0,1.0,36.0, 2847 
Klostergården,1855000,23481.0,3.0,79.0, 5055 
Gyllins Trädgård,2001000,23821.0,3.0,84.0, 4936 
Väster,1850000,74000.0,1.0,25.0, 2171 
Täppet,2650000,,4.0,113.0, 4550 
Klagshamn,2700000,33333.0,3.0,81.0, 4482 
Östermalm,2015000,28786.0,2.0,70.0, 3714 
Hindby,2300000,,5.0,127.0, 8544 
Åhus-Täppet,3125000,,5.0,133.0, 5500 
Högaholm / Almvik,1675000,17268.0,4.0,97.0, 6172 
Almvik,1240000,16533.0,3.0,75.0, 4829 
Östra Förstaden,2450000,29518.0,3.0,83.0, 5202 
Värnhem,2395000,23713.0,4.0,101.0, 6788 
Bellevue,1100000,18803.0,2.0,58.5, 4028 
Persborg/västra Kattarp,1020000,18214.0,2.0,56.0, 3881 
Väster,1520000,20403.0,3.0,74.5, 4683 
Centralt,1400000,25225.0,2.0,55.5, 4156 
Kävlinge Tätort,1510000,23780.0,2.0,63.5, 4791 
Simrislund,775000,7381.0,4.0,105.0, 6965 
Söderkulla,1900000,21469.0,3.0,88.5, 4789 
Triangeln,5425000,53186.0,4.0,102.0, 4961 
Klippan,500000,7143.0,3.0,70.0, 4442 
Centrum,1950000,55714.0,1.0,35.0, 2508 
Trädgårdsstaden,2995000,,5.0,114.0, 5201 
Trädgårdsstaden,2895000,,5.0,114.0, 5201 
Trädgårdsstaden,2895000,,5.0,114.0, 5201 
Hyllie,2500000,37879.0,3.0,66.0, 4063 
Hyllie,2600000,39394.0,3.0,66.0, 4063 
Hyllie,1800000,35294.0,2.0,51.0, 3224 
Hyllie,1700000,42500.0,2.0,40.0, 2854 
Villan,1300000,23214.0,2.0,56.0, 3672 
Bjärred - Mellanvången,1770000,25504.0,2.0,69.4, 4609 
Rosengården,1350000,16265.0,3.0,83.0, 5320 
Centrum,2000000,40650.0,2.0,49.2, 3150 
Centrum,4650000,43056.0,4.0,108.0, 6202 
Östra Lund,1520000,38000.0,1.0,40.0, 2881 
Olympia,1750000,31250.0,2.0,56.0, 3486 
Slussen,2550000,37778.0,3.0,67.5, 3811 
Södertorp,2550000,28977.0,3.0,88.0, 5271 
Nydala,610000,32105.0,1.0,19.0, 1404 
Möllevången,2000000,32787.0,2.0,61.0, 2872 
Helsingborg,1695000,36848.0,2.0,46.0, 2902 
Hyllie,2575000,37319.0,3.0,69.0, 3479 
Väster,940000,14921.0,2.0,63.0, 3511 
Arlöv,2950000,,4.0,107.7, 4853 
Friluftstaden,5100000,,5.0,119.0, 7496 
Värnhem,1460000,32444.0,2.0,45.0, 2928 
Pildammarna,2500000,35211.0,3.0,71.0, 4148 
Kobjer,2100000,30882.0,2.0,68.0, 4428 
Segevång,877000,16865.0,2.0,52.0, 2944 
Veberöd,3825000,,7.0,174.0, 5032 
Slottsstaden,1950000,48750.0,2.0,40.0, 2694 
Slottsstaden,4100000,39423.0,4.0,104.0, 5792 
Dammfri,2185000,37350.0,2.0,58.5, 3979 
Nobel,1860000,34191.0,2.0,54.4, 2929 
Centrum,1120000,16970.0,2.0,66.0, 5199 
Ellstorp,1390000,27255.0,2.0,51.0, 3852 
Slottsstaden,2950000,35119.0,3.0,84.0, 4649 
Limhamns sjöstad,3725000,41854.0,3.0,89.0, 4083 
Gyllins trädgård - Husie,3950000,,4.0,127.0, 6382 
Adolfsberg,985000,15391.0,2.0,64.0, 3436 
Olympia,2650000,36301.0,2.0,73.0, 3881 
Mariastaden,3400000,35052.0,3.0,97.0, 4142 
Rörsjöstaden,5200000,50000.0,4.0,104.0, 5211 
Davidshallstorg,4600000,51685.0,3.0,89.0, 4535 
Pildammarna,845000,46944.0,1.0,18.0, 1594 
Lomma Strandstad,5800000,51101.0,4.0,113.5, 6597 
Kirseberg,700000,19444.0,1.0,36.0, 2908 
Borgmästaregården,2390000,27630.0,3.0,86.5, 4307 
Eslöv Norr,670000,10229.0,2.0,65.5, 4845 
Tegelbruket,1000000,28571.0,1.0,35.0, 2200 
Dockan,4995000,53138.0,3.0,94.0, 4873 
Norra Hamnen,6100000,62887.0,4.0,97.0, 5085 
Trädgårdsstaden,2895000,,5.0,114.0, 5201 
Trädgårdsstaden,2995000,,5.0,114.0, 5201 
Centrum,5600000,40876.0,4.0,137.0, 7222 
Hyllie,2650000,32716.0,3.0,81.0, 4565 
Gamla Näsby,950000,12418.0,3.0,76.5, 4118 
Rosengård,970000,12125.0,3.0,80.0, 5479 
Söderkulla,1350000,15084.0,3.0,89.5, 5455 
Granlunda,1340000,18741.0,3.0,71.5, 4174 
Centralt,900000,16791.0,2.0,53.6, 4600 
Ellstorp,1195000,27159.0,2.0,44.0, 3270 
Centrumnära,1315000,22101.0,2.0,59.5, 3916 
Lomma,1450000,42647.0,1.0,34.0, 2306 
Lomma - Centralt,2800000,38621.0,3.0,72.5, 4387 
Ribersborg,2300000,58974.0,1.5,39.0, 2451 
Möllevången,3320000,43117.0,3.0,77.0, 3931 
Parkstaden,1495000,20067.0,3.5,74.5, 3587 
Lorensborg,1555000,27281.0,2.0,57.0, 2993 
Centrum,4400000,47312.0,4.0,93.0, 5508 
Husie,2335000,25243.0,4.0,92.5, 5775 
Limhamn,3160000,40513.0,3.0,78.0, 4504 
Trelleborg,1000000,14815.0,2.0,67.5, 4120 
Rosengården,900000,14286.0,2.0,63.0, 4025 
Ellstorp,1320000,24444.0,2.0,54.0, 2933 
Lund - Centrum,3450000,46000.0,3.0,75.0, 5084 
Rådmansvången,1995000,60455.0,1.0,33.0, 1833 
Lindeborg,1470000,22791.0,2.0,64.5, 3503 
Slussen,2460000,41000.0,2.0,60.0, 2372 
Dammfri,1850000,31356.0,2.0,59.0, 3898 
Järnåkra,3350000,37017.0,4.0,90.5, 4072 
Lomma,4100000,50932.0,3.0,80.5, 6144 
Slottsstaden -Erikslust- Rönneholm,2265000,38390.0,2.0,59.0, 4284 
Åkarp,2100000,22581.0,3.0,93.0, 4529 
Gullvik,1150000,14110.0,3.0,81.5, 4049 
Linero,3000000,28571.0,4.0,105.0, 6697 
Möllevången,1525000,38125.0,2.0,40.0, 3127 
Lönngården,900000,17476.0,2.0,51.5, 4011 
Erikslust,2055000,38774.0,2.0,53.0, 2992 
Eslöv,1100000,20370.0,2.0,54.0, 3791 
Trädgårdsstaden,3295000,,6.0,142.0, 5929 
